id,languages,classifier,clfType,fileType
28457823,"['javascript', 'css', 'html', 'shell']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
11730342,"['javascript', 'typescript', 'html', 'css', 'shell']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
10270250,"['javascript', 'html', 'css', 'c++', 'typescript', 'c', 'shell', 'python']",C++-JavaScript_HD*_JavaScript*,ID_HD_FFI,"['.cpp', '.cc', '.ts', '.js', '.html', '*']"
2126244,"['javascript', 'css', 'html', 'shell']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
291137,"['shell', 'python', 'ruby']",HD*_Shell*,HD_ID,"['.sh', '.bsh', '.zsh', '*']"
2325298,"['c', 'c++', 'objective-c', 'shell', 'python']",Java-C_C-Python_HD*,HD_FFI,"['.java', '.c', '.c', '.py', '*']"
29028775,"['javascript', 'java', 'c++', 'objective-c', 'python', 'ruby', 'shell', 'html', 'c', 'css']",C++-JavaScript_JavaScript*_C++-Ruby_Java-C_Java*,ID_FFI,"['.java', '.c', '.mm', '.cpp', '.cc', '.java', '.ts', '.js', '.html']"
9384267,"['c++', 'typescript', 'javascript', 'python', 'objective-c', 'html', 'shell', 'css', 'c']",C++-Ruby_C++-JavaScript_JavaScript*,ID_FFI,"['.cpp', '.cc', '.mm', '.ts', '.js', '.html']"
23088740,"['javascript', 'typescript', 'html']",HD*,HD,['*']
23096959,"['go', 'html', 'c', 'shell', 'javascript', 'python', 'c++']",C-Go_Ruby-Go_JavaScript-Go_JavaScript*,ID_FFI,"['.go', '.go', '.go', '.ts', '.js', '.html']"
27193779,"['javascript', 'c++', 'python', 'c', 'html', 'shell']",Python*_C++-JavaScript_JavaScript*_Java-C_C-Python,ID_FFI,"['.cpp', '.cc', '.c', '.py', '.java', '.c', '.ts', '.js', '.html', '.py']"
2561582,"['css', 'javascript']",HD*,HD,['*']
20580498,"['go', 'python', 'shell', 'c', 'ruby', 'html']",C-Go_Ruby-Go_Shell*,ID_FFI,"['.go', '.go', '.sh', '.bsh', '.zsh']"
3470471,"['javascript', 'css']",HD*,HD,['*']
1039520,"['python', 'shell']",C-Python,FFI,"['.c', '.py']"
460078,"['javascript', 'html', 'shell', 'php', 'css']",Shell*_HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '*']"
20929025,"['typescript', 'javascript', 'shell']",HD*_JavaScript*,HD_ID,"['.ts', '.js', '.html', '*']"
1863329,"['php', 'html']",HD*,HD,['*']
