No,Url,Valid,Message,Issue-url,Tag,Category
0,https://api.github.com/repos/dev-cafe/cmake-cookbook/commits/e2cdfb3c79477014966d893e9712b27aa18048b3,True, merge pull request 523 axioscros master fix spelling,https://api.github.com/repos/dev-cafe/cmake-cookbook/issues/523, ,None
1,https://api.github.com/repos/dev-cafe/cmake-cookbook/commits/7fb156785304fb93455f944ef54762ffed32ce02,False, fix spelling fix spelling variable signed axios 13862149 axioscros, , ,None
2,https://api.github.com/repos/dev-cafe/cmake-cookbook/commits/1e3557f85e285e3f222e11636593172b93ef3230,True, merge pull request 520 kwoodle master update cmakelists.txt,https://api.github.com/repos/dev-cafe/cmake-cookbook/issues/520, ,None
3,https://api.github.com/repos/dev-cafe/cmake-cookbook/commits/2105e1b41a4e7cc835581c0f2c21f79fe3acc899,False, update cmakelists.txt signed kwoodle woodlek optonline.net, , ,None
4,https://api.github.com/repos/dev-cafe/cmake-cookbook/commits/f8175d47f1b178368f67e04049375fd494831047,True, merge pull request 517 hjmjohnson remove fatal_error ignored option style remove ingored fatal_error flag,https://api.github.com/repos/dev-cafe/cmake-cookbook/issues/517, ,None
5,https://api.github.com/repos/dev-cafe/cmake-cookbook/commits/47355e72c5d5de31dc834a1383e53eab81e921b5,True, merge pull request 504 robertodr security warning update .envrc fix security warning signed han johnson hans.j.johnson gmail.com,https://api.github.com/repos/dev-cafe/cmake-cookbook/issues/504, ,General
6,https://api.github.com/repos/dev-cafe/cmake-cookbook/commits/26de2da6ca9212eddeb9734eb631618ed23fea56,True, merge pull request 504 robertodr security warning update .envrc fix security warning,https://api.github.com/repos/dev-cafe/cmake-cookbook/issues/504, ,General
7,https://api.github.com/repos/dev-cafe/cmake-cookbook/commits/9db957970e897b6efc8df53496b0165d054b4a25,False, pipenv ignore existing virtualenv custom.sh signed roberto remigio gmail.com, , ,None
8,https://api.github.com/repos/dev-cafe/cmake-cookbook/commits/f25fb9abdb82538f3dfa6aa81077fc5b7262973f,False, update .envrc fix security warning signed roberto remigio gmail.com, , ,General
9,https://api.github.com/repos/dev-cafe/cmake-cookbook/commits/28def82a1ffdf4d97d97370d4aecd610586c1391,False, delete .drone.yml, , ,None
10,https://api.github.com/repos/dev-cafe/cmake-cookbook/commits/0038826e836c55e240cd106277290cb0fb5f14c1,True, merge pull request 503 bast changelog update changelog.md,https://api.github.com/repos/dev-cafe/cmake-cookbook/issues/503, ,None
11,https://api.github.com/repos/dev-cafe/cmake-cookbook/commits/ab06d9195396395fbf237bcb610b13ad434cec55,True, merge pull request 502 robertodr contributing update contributing.md,https://api.github.com/repos/dev-cafe/cmake-cookbook/issues/502, ,None
12,https://api.github.com/repos/dev-cafe/cmake-cookbook/commits/3a362d4e29a3d8dcef1d60ea612026101c2f6724,False, subsection unreleased signed radovan bast bast, , ,None
13,https://api.github.com/repos/dev-cafe/cmake-cookbook/commits/1b989d86a08af3d7a0d461cd8aa4366d0d7d26f8,False, set v1.0 date 2018 signed radovan bast bast, , ,None
14,https://api.github.com/repos/dev-cafe/cmake-cookbook/commits/5c3803746754bc227103cfd9aba701b0667550cb,False, github doe seem used removing signed radovan bast bast, , ,None
15,https://api.github.com/repos/dev-cafe/cmake-cookbook/commits/9810973569b0f7c5423476efdd572afe8f67ceeb,False, fix copy paste error contributing.md signed roberto remigio gmail.com, , ,None
16,https://api.github.com/repos/dev-cafe/cmake-cookbook/commits/d47ccd0365eb8a05dc505c8eae04cd9bb0740dd9,False, preserve information contributing.md signed roberto remigio gmail.com, , ,None
17,https://api.github.com/repos/dev-cafe/cmake-cookbook/commits/1f5d328511bc657e8203087b88d490fe8403253f,False, add contributing.md explains dco work implies contributor signed roberto remigio gmail.com, , ,None
18,https://api.github.com/repos/dev-cafe/cmake-cookbook/commits/387931abff902304656ef89a5e46b8c91fad7b7f,True, merge pull request 501 robertodr author add authors.md .mailmap,https://api.github.com/repos/dev-cafe/cmake-cookbook/issues/501, ,None
