Id,Url,Langs,ApiType,RemNum,IibcNum,PdNum,GenNum,VulNum
112409981,https://api.github.com/repos/mitre/caldera,"['css', 'html', 'javascript', 'python']",IMI_EBD,0,1,0,7,8
70612113,https://api.github.com/repos/CCOSTAN/Home-AssistantConfig,"['css', 'html', 'javascript', 'shell']",IMI_EBD,0,0,0,1,1
3766706,https://api.github.com/repos/iBotPeaches/Apktool,"['java', 'shell']",IMI,3,0,0,2,5
65415224,https://api.github.com/repos/elfmz/far2l,"['c', 'c++', 'python', 'shell']",FFI_IMI,1,0,0,7,8
802006,https://api.github.com/repos/mediaelement/mediaelement,"['css', 'html', 'javascript', 'shell']",IMI_EBD,1,0,0,3,4
1431547,https://api.github.com/repos/encode/django-rest-framework,"['css', 'html', 'javascript', 'python']",IMI_EBD,0,2,0,2,4
79083614,https://api.github.com/repos/python-trio/trio,"['python', 'shell']",FFI,0,0,0,0,0
11276147,https://api.github.com/repos/cmderdev/cmder,[],FFI,0,0,0,0,0
1040867,https://api.github.com/repos/piroor/treestyletab,"['css', 'html', 'javascript', 'shell']",IMI_EBD,0,0,0,0,0
1601209,https://api.github.com/repos/Kong/unirest-java,"['java', 'shell']",IMI,0,0,0,4,4
3898922,https://api.github.com/repos/zammad/zammad,"['css', 'html', 'javascript', 'shell']",IMI,1,0,0,2,3
3791835,https://api.github.com/repos/darktable-org/darktable,"['css', 'html', 'javascript', 'shell']",FFI_IMI,7,0,0,6,13
366200,https://api.github.com/repos/watir/watir,"['html', 'javascript', 'shell']",IMI,0,0,0,1,1
816197,https://api.github.com/repos/errbit/errbit,"['html', 'java']",EBD,2,0,0,12,14
9435882,https://api.github.com/repos/the-tcpdump-group/tcpdump,[],IMI,2,0,0,2,4
13918591,https://api.github.com/repos/msys2/MSYS2-packages,"['python', 'shell']",IMI,0,0,0,2,2
65711522,https://api.github.com/repos/PaddlePaddle/Paddle,"['c', 'c++', 'python', 'shell']",FFI_IMI,1,0,0,0,1
1844194,https://api.github.com/repos/PyTables/PyTables,"['python', 'shell']",FFI,0,0,0,1,1
21303988,https://api.github.com/repos/pycontribs/jira,"['python', 'shell']",IMI,0,0,1,4,5
1593053,https://api.github.com/repos/pioneerspacesim/pioneer,"['c', 'c++', 'python', 'shell']",FFI_IMI,1,0,0,11,12
14884825,https://api.github.com/repos/cnpm/cnpmjs.org,"['css', 'html', 'javascript', 'shell']",IMI_EBD,0,0,0,1,1
24666294,https://api.github.com/repos/ankane/blazer,[],HIT,0,0,1,0,1
50461701,https://api.github.com/repos/tensorflow/serving,"['c', 'c++', 'python', 'shell']",FFI_IMI,1,0,0,0,1
9265076,https://api.github.com/repos/DemocracyOS/democracyos,"['html', 'java']",IMI_EBD,0,0,0,0,0
26726495,https://api.github.com/repos/go-swagger/go-swagger,"['go', 'shell']",IMI,1,0,0,4,5
34369372,https://api.github.com/repos/shd101wyy/markdown-preview-enhanced,"['css', 'html', 'javascript', 'python']",EBD,0,0,0,0,0
8935948,https://api.github.com/repos/vispy/vispy,"['python', 'shell']",FFI_IMI,0,0,0,0,0
2269868,https://api.github.com/repos/rr-debugger/rr,"['c', 'c++', 'python', 'shell']",FFI_IMI,7,0,0,7,14
5839692,https://api.github.com/repos/webpack/webpack-dev-server,"['java', 'shell']",IMI,0,0,0,3,3
