id,languages,classifier,clfType,fileType
42283287,"['javascript', 'typescript', 'html']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
2573058,"['html', 'javascript']",JavaScript*,IMI,"['.ts', '.js', '.html']"
53238813,"['ruby', 'shell', 'html']",Shell*_Ruby*_C++-Ruby,FFI_IMI,"['.cpp', '.cc', '.rb', '.rb', '.sh', '.bsh', '.zsh']"
29261473,"['go', 'shell']",C-Go_Ruby-Go,FFI,"['.go', '.go']"
41986369,"['go', 'shell']",Ruby-Go,FFI,['.go']
2562751,"['java', 'html', 'css']",Java-C_Java*,FFI_IMI,"['.java', '.c', '.java']"
71220757,"['python', 'ruby', 'php', 'shell', 'html', 'javascript']",Shell*_Python*_Ruby*,IMI,"['.py', '.rb', '.sh', '.bsh', '.zsh']"
38558578,"['typescript', 'javascript', 'shell', 'css', 'html']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
17728164,"['go', 'html', 'shell']",C-Go_Ruby-Go,FFI,"['.go', '.go']"
94367677,"['typescript', 'javascript', 'css', 'shell']",JS-CSS-HTML*_Shell*_JavaScript*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.html', '.js', '.css']"
49609581,"['shell', 'html', 'javascript']",JS-CSS-HTML*_Shell*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
30969188,"['javascript', 'html']",JavaScript*,IMI,"['.ts', '.js', '.html']"
74175805,"['go', 'shell', 'python', 'java', 'ruby']",Shell*_Go*_C-Go_Ruby-Go,FFI_IMI,"['.go', '.go', '.sh', '.bsh', '.zsh', '.go']"
1844251,"['javascript', 'html', 'css', 'shell']",JS-CSS-HTML*_Shell*_JavaScript*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.html', '.js', '.css']"
698041,"['javascript', 'css', 'shell']",Shell*_JavaScript*,IMI,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh']"
18049133,"['javascript', 'css', 'html', 'ruby']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
14098121,"['javascript', 'python', 'ruby', 'java', 'html', 'css', 'shell']",Shell*_Python*_C-Python_JavaScript*,FFI_IMI,"['.c', '.py', '.ts', '.js', '.html', '.py', '.sh', '.bsh', '.zsh']"
135786093,"['javascript', 'css']",JavaScript*,IMI,"['.ts', '.js', '.html']"
3577919,"['go', 'shell']",Go*_Shell*,IMI,"['.go', '.sh', '.bsh', '.zsh']"
39176269,"['javascript', 'typescript']",JS-CSS-HTML*,EBD,"['.html', '.js', '.css']"
8989842,"['go', 'html', 'javascript', 'css', 'shell']",Go*_C-Go_Shell*,FFI_IMI,"['.go', '.go', '.sh', '.bsh', '.zsh']"
53631945,"['python', 'shell', 'ruby']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
6988020,"['javascript', 'html', 'typescript', 'css', 'shell']",JS-CSS-HTML*_Shell*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
13840241,"['ruby', 'html', 'css', 'javascript']",JS-CSS-HTML*_Ruby*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.rb', '.html', '.js', '.css']"
349241,"['javascript', 'html']",JavaScript*,IMI,"['.ts', '.js', '.html']"
23405758,"['c++', 'c']",C-C++,FFI,"['.c', '.cpp']"
8575137,"['java', 'html', 'css', 'shell']",JS-CSS-HTML*_Shell*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
29891188,"['javascript', 'shell']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
33263118,"['javascript', 'css', 'html', 'shell', 'python']",Shell*_Python*_JavaScript*,IMI,"['.ts', '.js', '.html', '.py', '.sh', '.bsh', '.zsh']"
458058,"['php', 'css', 'javascript', 'html', 'shell']",JS-CSS-HTML*_Shell*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
30203935,"['javascript', 'html', 'css', 'objective-c', 'shell', 'java', 'ruby']",JS-CSS-HTML*_Shell*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh', '.html', '.js', '.css']"
11171548,"['c++', 'html']",HIT*,HIT,['*']
1283503,"['javascript', 'shell']",Shell*_JavaScript*,IMI,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html']"
32247847,"['typescript', 'javascript', 'html', 'shell']",JS-CSS-HTML*_Shell*_JavaScript*,IMI_EBD,"['.sh', '.bsh', '.zsh', '.ts', '.js', '.html', '.html', '.js', '.css']"
50447720,"['shell', 'objective-c', 'c']",Shell*,IMI,"['.sh', '.bsh', '.zsh']"
3620194,"['javascript', 'html']",JavaScript*,IMI,"['.ts', '.js', '.html']"
53127403,"['java', 'html', 'javascript', 'shell', 'css']",Shell*_Java*_JavaScript*,IMI,"['.sh', '.bsh', '.zsh', '.java', '.ts', '.js', '.html']"
317757,"['javascript', 'css', 'shell']",Shell*_JavaScript*,IMI,"['.ts', '.js', '.html', '.sh', '.bsh', '.zsh']"
52773157,"['typescript', 'javascript', 'shell']",JS-CSS-HTML*_JavaScript*,IMI_EBD,"['.ts', '.js', '.html', '.html', '.js', '.css']"
