message,fuzzy
"['bottom', 'adjacent', 'stack', 'window', 'columnwindow']",{'stack': 100}
"['topbar', 'focus', 'positionpanel', 'topbar', 'focus', 'monitorstill', 'secondary', 'workarea', 'issue', 'panelleast', 'somewhatsimon']",{'issue': 100}
"['firefox', 'waylandwrong', 'report', 'window', 'valuehardcode', 'incorrect', 'leavingcorrect', 'value']",{'incorrect': 100}
"['insertion', 'insertwindow', 'opacityanimation', 'oncomplete', 'actuallyanimation', 'complete', 'functionpaperwm', 'issue']",{'issue': 100}
"['background', 'monitor', 'recreatefractional', 'background', 'scale', 'recreatemovingpaperwm', 'close', 'issue']",{'issue': 100}
"['toggle', 'expose']",{'expose': 100}
"['common', 'issue']",{'issue': 100}
"['sequential', 'space', 'navigation', 'disallow', 'stack']",{'stack': 100}
"['expose', 'startup', 'failureutility', 'startup', 'notification', 'error']",{'expose': 100}
"['gnomegnome', 'crash']",{'crash': 100}
"['gnome', 'crash']",{'crash': 100}
"['bugfix', 'insertwindow', 'jetbrains', 'crash', 'window', 'couldwindow', 'target', 'general', 'stackoverlaynever', 'signal', 'insertwindow', 'crash', 'changedwindow', 'focusablesometimes', 'normal', 'startup', 'pycharm', 'example', 'stackoverlay', 'windowworst', 'application']",{'crash': 100}
"['workspace', 'stack']",{'stack': 100}
"['actor', 'stability', 'destroyedactor', 'crash']",{'crash': 100}
"['guard', 'minimap', 'unmappedspurious', 'crash']",{'crash': 100}
"['workspace', 'switch', 'stack']",{'stack': 100}
"['window', 'stack', 'order', 'windowalways', 'window', 'neighbour', 'focus', 'vertical', 'selectwindow', 'issue', 'order', 'clone']","{'stack': 100, 'issue': 100}"
"['window', 'monitor', 'unmappedreverts', 'commitsometimes', 'issue', 'gnome', 'window']",{'issue': 100}
"['removwindowcommit', 'window', 'issue', 'bunch', 'causedaccess', 'removewindow']",{'issue': 100}
"['workspace', 'performance', 'space', 'stack', 'visiblespace', 'visible', 'othersimprove']",{'stack': 100}
"['workspace', 'update', 'stack', 'recentlyremovingtrackspace', 'filter']",{'stack': 100}
"['stack', 'monitor']",{'stack': 100}
"['preview', 'expose', 'workspacespace', 'trouble', 'ensurevievport']",{'expose': 100}
"['renamecause', 'setting', 'lauch', 'issue']",{'issue': 100}
"['window', 'workspace', 'stack', 'highlight']",{'stack': 100}
"['rename', 'stack']",{'stack': 100}
"['action', 'keybindings', 'keybindingswould', 'crash', 'necessary', 'dconfgroup', 'backward', 'switch', 'applicationkeybindings']",{'crash': 100}
"['navigator', 'order', 'workspace', 'stack']",{'stack': 100}
"['order', 'workspace', 'stack']",{'stack': 100}
"['scratch', 'layerinstead', 'bottom', 'stack']",{'stack': 100}
"['trigger', 'crash', 'schemaeasier', 'install']",{'crash': 100}
"['destination', 'placement', 'stack', 'stackoverlay']",{'stack': 100}
"['ensure', 'propagate', 'stack', 'logic', 'functionbackward', 'propagate', 'position', 'check', 'forwardwindow', 'limit', 'issue', 'stack']","{'stack': 100, 'issue': 100}"
"['empty', 'stack', 'fixstacklevelsraise', 'empty', 'stack', 'right', 'functionvisible']",{'stack': 100}
"['minimize', 'performance', 'lowerensure', 'window', 'bottleneckrightraise', 'quick', 'right', 'simplyvisiblechange', 'stack', 'consequence', 'right', 'visiblewindow']",{'stack': 100}
"['preview', 'window', 'livealttab', 'clone', 'scratch', 'windowraise', 'mutate', 'level', 'stack']",{'stack': 100}
"['issue', 'scratch', 'window', 'attachingalways']",{'issue': 100}
"['disconnect', 'overlay', 'stack']",{'stack': 100}
"['todos', 'issue']",{'issue': 100}
"['space', 'workspace', 'stablespace', 'usageimprove', 'array', 'thing', 'gnome', 'crash', 'shell']",{'crash': 100}
"['protrude', 'stack', 'rightreverts']",{'stack': 100}
"['stack', 'portion', 'overlay', 'gnome', 'account', 'shellmouse', 'input', 'regionwindow', 'affectwayland']",{'stack': 100}
"['pixel', 'minimaps', 'wholealignment', 'multimap', 'viewport', 'issue']",{'issue': 100}
"['multimap', 'expose', 'selectedindex']",{'expose': 100}
"['window', 'position', 'integer', 'pixelresult', 'blurrymaybe']",{'integer': 100}
"['toggle', 'scratch', 'super', 'stack', 'toggle']",{'stack': 100}
"['preview', 'crash']",{'crash': 100}
"['height', 'frame', 'scale', 'calculateframe', 'delta', 'window', 'buffer', 'heightaround', 'height', 'setting', 'window']",{'buffer': 100}
"['close', 'crash']",{'crash': 100}
