repo_id,apity,apity_num,pj_size,lg_num,age,cmmt_num,dev_num,se_num,se_rem_num,se_iibc_num,se_pd_num,se_other
10446890,FFI_IRI,0,8283,7,2884,2627,72,107,71,0,23,13
47394776,HI,1,10251,3,2007,2218,285,48,16,0,5,27
41986369,FFI,0,225511,5,2125,13864,696,474,226,5,6,237
2562751,FFI_IRI,0,240603,3,4976,3584,156,264,48,5,11,200
1844251,IRI_ID,0,73004,4,3415,2905,381,68,2,5,0,61
698041,IRI,0,5831,4,4064,1798,272,58,17,3,4,34
6988020,IRI_ID,0,60689,7,3083,500,136,22,5,0,1,16
13840241,IRI_ID,0,21631,7,2804,4051,180,39,7,1,2,29
349241,IRI,0,7142,2,4220,2749,344,68,26,2,4,36
28167802,ID,0,9239,3,2005,660,45,4,2,0,0,2
8575137,IRI_ID,0,3909,5,2739,1016,115,31,6,10,0,15
23405758,FFI,0,1500,3,3736,362,58,35,19,0,2,14
29891188,IRI,0,3274,2,2346,1864,185,24,2,0,0,22
1283503,IRI,0,2290,2,3567,2270,358,79,39,0,7,33
3620194,IRI,0,12529,3,3384,2634,559,220,14,0,5,201
6452529,FFI_IRI,0,279364,18,3135,20000,231,443,189,0,51,203
52773157,IRI_ID,0,19691,3,1956,4636,760,308,40,2,2,264
31085130,IRI,0,306499,2,2317,2136,90,16,2,1,0,13
105919803,FFI,0,4483,7,1159,141,41,2,1,0,0,1
32578467,IRI,0,181664,5,2169,1734,176,75,21,0,1,53
13855476,IRI,0,3730,2,2805,2232,298,55,20,0,8,27
2700159,FFI_IRI,0,64903,8,3701,6444,240,218,8,4,1,205
13584262,IRI,0,9208,2,2815,2942,187,104,31,1,4,68
64355429,IRI,0,32902,3,1433,3031,206,24,1,0,1,22
7607075,IRI_ID,0,143113,5,2800,1083,165,12,2,0,0,10
1028340,IRI_ID,0,39676,6,4098,7935,520,161,24,0,2,135
1116542,FFI_IRI,0,28271,5,5427,5274,64,127,81,0,35,11
51863547,HI,1,108316,5,1939,491,42,11,1,1,1,8
53370988,IRI_ID,0,90228,6,1994,4696,319,118,37,7,19,55
4037197,IRI,0,36477,5,3326,2813,189,241,122,19,8,92
1254497,IRI_ID,0,18073,4,3822,6961,999,121,35,3,10,73
34757182,HI,1,7768,2,1924,790,46,22,20,0,0,2
39840932,FFI_IRI,0,9541,7,4744,3705,402,147,39,5,5,98
59652928,ID,0,65251,4,1538,532,39,19,1,0,0,18
519832,FFI_IRI,0,49853,9,4150,9344,439,297,116,11,46,124
15308499,ID,0,2494,3,2746,1062,182,28,1,1,6,20
11276147,FFI,0,2634,4,2893,1270,157,19,1,0,0,18
402046,IRI_ID,0,103756,3,4421,2232,201,54,11,0,6,37
45431898,IRI_ID,0,48184,3,1999,1984,231,49,14,0,2,33
5405654,IRI_ID,0,34717,4,3233,2515,247,98,5,0,2,91
19745004,FFI_IRI,0,3649711,14,1420,20000,818,1052,413,47,21,571
308770,HI,1,5507,2,4252,3750,702,118,30,6,18,64
5532320,IRI_ID,0,30189,4,3150,6848,200,155,7,8,21,119
10567197,IRI_ID,0,11880,14,2938,6903,479,247,26,2,44,175
