keyword,count
issue,153233
crash,21282
thread,21042
buffer,20631
generation,18164
length,13722
incorrect,13665
Security,12751
stack,12107
permission,9546
expose,9387
integer,7234
overflow,6558
OpenSSL,4666
crypto,3655
Sensitive,2896
encryption,2622
concurrent,2308
injection,2301
fatal,2150
deadlock,2003
blacklist,1801
Sprintf,1627
concurren,1366
cipher,1336
forger,604
insecure,570
entropy,559
improper,531
overrun,499
Exposure,359
vulnerable,332
wireguard,332
underflow,296
bcrypt,268
signedness,256
threat,239
assessment,237
synch,205
randomness,194
breach,160
violate,139
backdoor,99
Forgery,87
breakable,34
broken,31
penetration,21
specialchar,19
denial service,9
exploit,5
unauthenticated,2
ciphers,1
widthness,1
Cross-Site,1
gain access,1
unproper,1
