language,count,count_distribution,bytes,bytes_distribution,percentage_sum,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
javascript,2523,0.48333333333333334,2292438159,0.07505909341401251,857.1600626345999,0.3397,0.3803,0.1261,0.999960997239888,7.490969168481823e-08
python,1905,0.3649425287356322,3051917687,0.09992599968774556,700.0990234610806,0.3675,0.4182,0.0858,0.9999453358783665,4.825903131576801e-07
java,803,0.15383141762452107,3784954334,0.12392711219194005,381.835273512882,0.4755,0.4209,0.4335,0.9998486825531823,1.0701024088005223e-05
c++,924,0.17701149425287357,4134652531,0.13537694325162916,364.109415703238,0.3941,0.3753,0.2921,0.9975901385470975,1.9415038481091646e-07
go,510,0.09770114942528736,925198703,0.030292889516938204,335.4199760735881,0.6577,0.4063,0.9025,0.9999499916813085,6.386824136715012e-06
c,1162,0.22260536398467434,6304712022,0.2064291098758253,293.1300818205076,0.2523,0.3369,0.0464,0.9986056915744825,6.795263468382076e-07
typescript,641,0.12279693486590039,627982110,0.020561413040419852,281.6226621857382,0.4393,0.3925,0.3373,0.9998029069390223,1.472414059661166e-06
php,488,0.09348659003831418,1229260372,0.04024848772031445,238.97781455878052,0.4897,0.4231,0.5476,0.9999489082074308,4.852962391278317e-07
c#,393,0.07528735632183908,2104352653,0.0689007909493414,234.26975847417233,0.5961,0.4301,0.8399,0.9999356668836487,1.4169455439709078e-05
ruby,875,0.16762452107279693,677159512,0.022171581321769093,223.1771427080309,0.2551,0.3845,0.0086,0.9999296781352145,7.763885770702861e-08
html,2374,0.45478927203065134,992660346,0.03250172108079971,185.4287172634218,0.0781,0.1599,0.0129,0.9997345752807424,7.270059066633467e-07
shell,3442,0.6593869731800767,208543793,0.006828148440229958,121.74823064692089,0.0354,0.1332,0.0031,0.9985043891440729,4.650055200248585e-07
swift,207,0.039655172413793106,115502134,0.0037817750639805984,109.23069258431165,0.5277,0.4442,0.714,0.9988945424376553,1.5171800499968698e-05
rust,162,0.03103448275862069,275379447,0.009016483849531012,97.6481827784311,0.6028,0.4353,0.8581,0.9998478687884809,9.666724362027022e-06
css,1722,0.32988505747126434,165186381,0.005408538482717545,79.44566422065819,0.0461,0.1109,0.0079,0.9985089877010407,3.355244157530703e-07
objective-c,382,0.07318007662835249,186114818,0.006093778126642122,68.2454998306102,0.1787,0.3093,0.0095,0.9960960905690628,1.058787675445137e-05
scala,134,0.02567049808429119,234527220,0.007678898750223021,61.30313840368556,0.4575,0.4477,0.2139,0.9998742312088791,5.9970453102942116e-06
kotlin,160,0.03065134099616858,107219573,0.0035105871510741735,41.71553642940283,0.2607,0.3651,0.0348,0.9998332258417397,9.16883586041731e-07
scss,501,0.09597701149425288,53940054,0.001766107206010297,32.81585195054813,0.0655,0.1128,0.0255,0.8469730826438917,2.63007127054798e-07
jupyter notebook,122,0.023371647509578545,620438916,0.02031443350866533,29.66072299402912,0.2431,0.3285,0.0666,0.9979076510693439,2.051658915222474e-05
clojure,58,0.011111111111111112,32497501,0.0010640343573520862,26.75132491385256,0.4612,0.4564,0.286,0.9993552144431965,1.6459468063969378e-06
vue,141,0.027011494252873563,31717133,0.0010384835199699093,23.10008000015722,0.1638,0.1993,0.0955,0.8234914002430173,6.580213788199614e-05
emacs lisp,131,0.025095785440613028,96291212,0.0031527703585292146,22.660334303662133,0.173,0.3578,0.0006,0.9996584193283846,9.509081013883575e-07
vim script,95,0.018199233716475097,29057949,0.0009514164209175561,18.911947681083692,0.1991,0.3573,0.0021,0.9998360452982676,1.522508593038499e-06
haskell,47,0.00900383141762452,26583621,0.0008704018837271957,18.49608695691774,0.3935,0.431,0.052,0.9991326335597307,3.860620780100198e-06
makefile,1637,0.3136015325670498,75593745,0.0024750931427284977,18.033903230350273,0.011,0.0481,0.0026,0.9457889387929056,1.1624742463518006e-06
coffeescript,92,0.017624521072796936,30039766,0.0009835631087700266,15.37272667408083,0.1671,0.3137,0.0085,0.9984485112784319,4.529572497918198e-07
elixir,42,0.008045977011494253,18660449,0.0006109810985040475,14.976909050554482,0.3566,0.4157,0.0976,0.9995651981161995,4.286903135816057e-06
lua,212,0.04061302681992337,59904692,0.0019614015999136264,14.867185147472803,0.0701,0.1737,0.0056,0.999599291246392,3.3411083151231794e-07
r,81,0.015517241379310345,20402297,0.0006680127489464928,14.424747772741505,0.1781,0.3507,0.0022,0.9966074094178314,3.5959268999461845e-07
powershell,405,0.07758620689655173,82806817,0.0027112638079760908,13.114413807913367,0.0324,0.1341,0.0013,0.9994913016621516,2.8953477623644396e-06
erlang,41,0.007854406130268199,32233479,0.0010553897394444875,12.886572078787692,0.3143,0.4177,0.019,0.9997172171675814,1.0442159756486798e-06
cmake,566,0.10842911877394636,52439949,0.0017169907136487567,12.331605551261404,0.0218,0.0574,0.0095,0.8143263917376511,4.135247553291473e-06
perl,331,0.06340996168582376,111659272,0.0036559519368865256,11.786053998978282,0.0356,0.1237,0.0029,0.9980363333918949,1.5086946677178446e-06
tex,123,0.023563218390804597,14909892,0.0004881802250705066,11.061468510048083,0.0899,0.2419,0.0058,0.998088626207913,2.284472906572152e-06
groovy,131,0.025095785440613028,80161035,0.0026246355176942097,10.223462442759564,0.078,0.1886,0.0035,0.9915540328025598,8.229159206145646e-06
dockerfile,1304,0.24980842911877393,5867053,0.0001920992622911414,9.329071436206007,0.0072,0.0419,0.0008,0.7805361591634794,1.1832107496263975e-06
assembly,220,0.0421455938697318,131097485,0.0042923986125102285,8.367658999520478,0.038,0.131,0.0038,0.9748451472843515,3.110766545710517e-06
less,200,0.038314176245210725,23760202,0.0007779573963433606,8.36506299216863,0.0418,0.0705,0.0127,0.3997594856874872,2.63007127054798e-07
ocaml,28,0.0053639846743295016,143098021,0.004685320597823517,7.769207130448817,0.2775,0.3701,0.0223,0.9579236024255786,3.011284208478155e-06
gherkin,112,0.021455938697318006,16745646,0.0005482865491735975,7.583858833475681,0.0677,0.1,0.0158,0.4344739566909094,3.1016632823622877e-06
julia,23,0.004406130268199234,5437799,0.00017804461224187108,7.510554993536739,0.3265,0.4617,0.0093,0.9998814706262661,9.651551950250496e-07
jinja,77,0.01475095785440613,6392813,0.00020931371529543343,7.458894641261314,0.0969,0.233,0.0028,0.9795829917155974,6.843256911261777e-06
f#,49,0.009386973180076629,85011157,0.0027834383882702953,7.405486401751794,0.1511,0.3294,0.002,0.9996212460493148,2.3920378757978644e-06
dart,26,0.004980842911877395,6156715,0.00020158338600943348,6.911207868789563,0.2658,0.383,0.0417,0.9993137158783737,3.088496624080159e-05
roff,287,0.054980842911877395,38508035,0.0012608314797533707,5.06169738427692,0.0176,0.0665,0.0019,0.8640188906130764,6.502513953175723e-07
blade,50,0.009578544061302681,10915000,0.0003573793261979751,4.718843586854807,0.0944,0.0851,0.0808,0.3156241060800399,0.0004074384209877836
common lisp,24,0.004597701149425287,9897226,0.0003240553329463198,4.634090035543132,0.1931,0.382,0.0006,0.9980292860320715,1.8078762580350948e-06
jsonnet,17,0.0032567049808429117,16345138,0.0005351731016997635,4.566219083090141,0.2686,0.3826,0.0172,0.9960231854691971,4.619655846906859e-05
rich text format,88,0.01685823754789272,205653975,0.00673352991437794,4.515209362294097,0.0513,0.1416,0.0021,0.8069960228133117,5.491510074341254e-06
batchfile,841,0.16111111111111112,5374880,0.00017598451606000665,4.510467414311957,0.0054,0.0511,0.0003,0.9589317773788151,3.7658897748492065e-07
haxe,12,0.0022988505747126436,18398387,0.0006024006549875937,4.411843697863389,0.3677,0.4258,0.1712,0.9998025988203847,0.0003793147490373867
m4,211,0.040421455938697316,23682349,0.0007754083305914145,4.155915584851916,0.0197,0.0327,0.0076,0.2272463696498325,3.436120201028624e-06
elm,12,0.0022988505747126436,5596301,0.00018323429047925372,4.0607206037102515,0.3384,0.3911,0.1461,0.9540270663395491,5.176391709885429e-05
handlebars,88,0.01685823754789272,7516373,0.0002461013575989604,3.9114708762571393,0.0444,0.1297,0.0024,0.8006886543451699,2.749715404455639e-06
d,20,0.0038314176245210726,15446571,0.0005057521883691418,3.860776467922423,0.193,0.3867,0.0013,0.9750064413180368,4.022366539582609e-06
pug,46,0.008812260536398468,3549702,0.00011622447173280849,3.471361158274222,0.0755,0.1218,0.0123,0.5942798628310154,8.146076649504049e-05
twig,53,0.010153256704980842,21587219,0.0007068095080813674,3.447018985649743,0.065,0.1037,0.0245,0.6752099800763091,9.52870033279695e-05
vala,8,0.0015325670498084292,4417973,0.00014465343233173125,3.380109857523612,0.4225,0.4573,0.3407,0.9835036886861519,0.00014840400243025317
glsl,127,0.02432950191570881,20528065,0.0006721306493676808,3.217217161444858,0.0253,0.0884,0.0027,0.7828953221728262,6.891517383138511e-06
objective-c++,129,0.02471264367816092,17222525,0.0005639005387015832,3.1739097111520516,0.0246,0.0858,0.0033,0.6905329388125051,5.4237859293200545e-06
plpgsql,65,0.012452107279693486,17026099,0.0005574691514796168,2.9055430495548578,0.0447,0.1389,0.0017,0.8565818960673229,2.7933323674738736e-06
solidity,24,0.004597701149425287,10427828,0.0003414283228903691,2.6066700854017255,0.1086,0.176,0.0251,0.7332704723927705,4.635272844341052e-05
tsql,61,0.011685823754789272,86575756,0.0028346665455208702,2.4797908338746897,0.0407,0.1456,0.002,0.9161137914154006,1.3968041121913064e-05
pascal,46,0.008812260536398468,14507380,0.0004750011625559304,2.394609134712384,0.0521,0.1788,0.0011,0.9427662957074722,2.91984908096423e-06
yara,9,0.0017241379310344827,14201743,0.00046499398480777,2.372555575752644,0.2636,0.4213,0.0584,0.9996483495244666,2.0159387092603503e-05
inno setup,68,0.013026819923371647,5607718,0.00018360810630767353,2.358789573933922,0.0347,0.1048,0.002,0.7221792418258073,1.694570962394442e-05
qml,24,0.004597701149425287,10427078,0.0003414037663631452,2.1648542270747404,0.0902,0.1412,0.0128,0.42773991521712373,8.086816467453933e-05
smarty,126,0.02413793103448276,11459317,0.0003752013731698581,2.05279617176243,0.0163,0.0505,0.0016,0.33283622686813547,2.0177498396194596e-06
hcl,60,0.011494252873563218,3680789,0.00012051652704506812,2.0174770268846807,0.0336,0.1161,0.0023,0.8569298790514123,4.176979662604269e-06
actionscript,16,0.0030651340996168583,6489254,0.00021247139001809572,1.9735215106726691,0.1233,0.2678,0.0047,0.9936325144492941,8.004264176181748e-05
cuda,45,0.008620689655172414,18699384,0.0006122559096873291,1.8708641314155987,0.0416,0.066,0.0108,0.253034368998966,2.3429044263595578e-05
pony,3,0.0005747126436781609,13988134,0.0004579999911760867,1.8607336646453394,0.6202,0.3374,0.604,0.9654112839326832,0.2912752132697407
starlark,99,0.01896551724137931,9404380,0.00030791855132475615,1.814883741273447,0.0183,0.0392,0.0017,0.22803388575893407,1.089359625391012e-06
ejs,64,0.012260536398467433,1901399,6.225567507590505e-05,1.777886711233404,0.0278,0.0706,0.0037,0.45349875683265023,7.98863892642525e-06
sass,36,0.006896551724137931,955693,3.129133489620902e-05,1.770297273450702,0.0492,0.1234,0.0026,0.5764238013056202,1.9779049756634005e-06
stylus,37,0.007088122605363984,1732879,5.673798711888419e-05,1.7564935771156738,0.0475,0.0759,0.0102,0.33842275435749414,2.4300930573760157e-05
crystal,5,0.0009578544061302681,1115728,3.6531206675237234e-05,1.6796369986127266,0.3359,0.4712,0.0003,0.9855892403252142,3.484508474568748e-05
yacc,97,0.0185823754789272,11250826,0.00036837495327995045,1.4966116574859443,0.0154,0.0646,0.0033,0.6275567248285004,2.2099660888213265e-05
mustache,97,0.0185823754789272,6338556,0.00020753723063198648,1.4676345263645512,0.0151,0.0606,0.0013,0.5246171171661242,3.3925957231626513e-07
f*,2,0.0003831417624521073,16993760,0.0005564103067677601,1.3480157389944165,0.674,0.0167,0.674,0.6858025948181234,0.6622131441762931
raku,43,0.008237547892720307,12830379,0.000420092734941333,1.324868564890773,0.0308,0.1425,0.0007,0.9322210092776829,5.840833206538579e-07
webassembly,11,0.00210727969348659,22254742,0.0007286655703774418,1.2825574228574121,0.1166,0.2005,0.0319,0.618919308778047,0.00010038386555371681
nix,56,0.010727969348659003,49052235,0.0016060700588918673,1.2397338071104635,0.0221,0.1287,0.0012,0.9647199567853663,5.853530670031054e-06
livescript,6,0.0011494252873563218,558136,1.8274509171491802e-05,1.218067591898513,0.203,0.3877,0.0064,0.9724428536978512,0.00018457781374678762
vim snippet,19,0.0036398467432950193,1202613,3.937599849903119e-05,1.2108666065173388,0.0637,0.227,0.0014,0.9899896239422042,7.190328597160899e-06
processing,12,0.0022988505747126436,1474103,4.826513393370716e-05,1.060127512897079,0.0883,0.2831,0.0033,0.9870648123673014,7.774542766745689e-05
reason,6,0.0011494252873563218,1083418,3.5473311482433146e-05,1.0460725257882866,0.1743,0.3604,0.0009,0.9006806184074388,3.6200490409236997e-06
coq,7,0.0013409961685823754,16639323,0.0005448053176482337,1.0212779240997185,0.1459,0.2418,0.0041,0.537973261171187,1.7802405351457825e-06
racket,9,0.0017241379310344827,669479,2.1920105719074134e-05,1.0027236128786308,0.1114,0.3287,0.0002,0.9878451962736832,2.9372578002382254e-05
autohotkey,4,0.0007662835249042146,195026,6.385548371148538e-06,0.9959544852396643,0.249,0.4941,0.0029,0.9901369247770614,5.667832098665593e-05
xslt,133,0.025478927203065133,8652365,0.00028329604889775015,0.9835254612372372,0.0074,0.0233,0.0011,0.2246853278226564,2.3123728638511262e-06
nim,4,0.0007662835249042146,11701358,0.00038312628837757997,0.9744169163584759,0.2436,0.4863,0.0007,0.9729887061941543,0.0001245319499147359
matlab,40,0.007662835249042145,3392839,0.00011108845769291908,0.9632705386179558,0.0241,0.0903,0.0013,0.5600262779982008,1.0784893226532025e-06
haml,24,0.004597701149425287,2102559,6.884206309770851e-05,0.9402799389239218,0.0392,0.0522,0.0143,0.15975901946029555,2.286238890586248e-05
digital command language,29,0.005555555555555556,2310485,7.564998373710751e-05,0.9363918291698493,0.0323,0.1613,0.0006,0.8705852023717453,2.0444471292278443e-06
asl,2,0.0003831417624521073,1906123,6.24103484553791e-05,0.9173901547712597,0.4587,0.6487,0.4587,0.9173793383608615,1.0816410398262394e-05
stan,2,0.0003831417624521073,22934505,0.0007509223951978095,0.911163565344465,0.4556,0.6443,0.4556,0.9111420787777232,2.1486566741716857e-05
dm,1,0.00019157088122605365,24810807,0.0008123563433887315,0.9109119293933678,0.9109119293933678,0.9109119293933678,0.9109119293933678,0.9109119293933678,0.9109119293933678
cartocss,2,0.0003831417624521073,565961,1.8530715605527455e-05,0.8720156703001647,0.436,0.5967,0.436,0.8579124957221081,0.014103174578056491
zig,2,0.0003831417624521073,25672017,0.0008405541124693506,0.867989385124747,0.434,0.6135,0.434,0.8678136046637576,0.00017578046098946234
red,1,0.00019157088122605365,5935390,0.00019433675482567105,0.8522192427219372,0.8522192427219372,0.8522192427219372,0.8522192427219372,0.8522192427219372,0.8522192427219372
visual basic .net,29,0.005555555555555556,76658485,0.0025099548984569473,0.8434544340197976,0.0291,0.0719,0.0016,0.31791388102455,1.6585162610669005e-06
scheme,30,0.005747126436781609,4350658,0.00014244940215829866,0.841990982362145,0.0281,0.1299,0.0003,0.7143221781728415,1.1487006655641825e-06
nunjucks,6,0.0011494252873563218,256682,8.404291361167993e-06,0.7220896661350246,0.1203,0.1836,0.0244,0.4605263931601818,0.00038707486595690205
lex,77,0.01475095785440613,7374129,0.00024144399938771856,0.6817593940618296,0.0089,0.032,0.0012,0.23504479696609398,7.309246106364599e-06
frege,1,0.00019157088122605365,2899927,9.494951509695972e-05,0.6782604567006335,0.6782604567006335,0.6782604567006335,0.6782604567006335,0.6782604567006335,0.6782604567006335
objective-j,1,0.00019157088122605365,7156031,0.00023430302675509136,0.6418515921052597,0.6418515921052597,0.6418515921052597,0.6418515921052597,0.6418515921052597,0.6418515921052597
vhdl,9,0.0017241379310344827,21354678,0.0006991956422184812,0.6297785652955312,0.07,0.1982,0.0001,0.5979661419913603,9.16883586041731e-07
robotframework,8,0.0015325670498084292,1958325,6.411954823423267e-05,0.6093923612433105,0.0762,0.1185,0.0134,0.28465021846275523,0.00040082800356705425
chapel,2,0.0003831417624521073,20304055,0.000664796105816457,0.592635820596664,0.2963,0.4085,0.2963,0.5851484878919931,0.007487332704670785
tcl,41,0.007854406130268199,6401253,0.00020959005808179266,0.5848852381901707,0.0143,0.044,0.001,0.2509556762623474,2.444826781359182e-07
hlsl,26,0.004980842911877395,12397275,0.0004059120280523135,0.5802003121886323,0.0223,0.0547,0.006,0.2674266804298986,5.729148998247743e-05
mako,31,0.0059386973180076625,2482792,8.129166578559075e-05,0.5736151927172278,0.0185,0.0595,0.0003,0.25086560337782826,6.348486286653262e-05
moonscript,4,0.0007662835249042146,497995,1.6305370366464555e-05,0.572385725820253,0.1431,0.2786,0.0055,0.560936284687424,0.00038803866882513346
ren'py,1,0.00019157088122605365,6902113,0.00022598923438225236,0.5585136206877438,0.5585136206877438,0.5585136206877438,0.5585136206877438,0.5585136206877438,0.5585136206877438
svelte,8,0.0015325670498084292,910359,2.9807007422653452e-05,0.5459973380915486,0.0682,0.0839,0.0318,0.23300592379883805,0.000491512896416366
nsis,95,0.018199233716475097,2505324,8.202940934746823e-05,0.5425183689332433,0.0057,0.0144,0.0016,0.11717706898378721,2.544459780158675e-05
