No,Issue-url,Tag
11,https://api.github.com/repos/pydanny/cookiecutter-django/issues/3238,enhancement
13,https://api.github.com/repos/pydanny/cookiecutter-django/issues/3239,bug
107,https://api.github.com/repos/pydanny/cookiecutter-django/issues/3187,bug
158,https://api.github.com/repos/pydanny/cookiecutter-django/issues/3148,bug
214,https://api.github.com/repos/pydanny/cookiecutter-django/issues/3121,enhancement
216,https://api.github.com/repos/pydanny/cookiecutter-django/issues/3038,enhancement
226,https://api.github.com/repos/pydanny/cookiecutter-django/issues/3077,bug
234,https://api.github.com/repos/pydanny/cookiecutter-django/issues/3112,bug
290,https://api.github.com/repos/pydanny/cookiecutter-django/issues/3076,bug
322,https://api.github.com/repos/pydanny/cookiecutter-django/issues/2865,bug
323,https://api.github.com/repos/pydanny/cookiecutter-django/issues/3055,bug
370,https://api.github.com/repos/pydanny/cookiecutter-django/issues/3041,enhancement
371,https://api.github.com/repos/pydanny/cookiecutter-django/issues/3029,enhancement
422,https://api.github.com/repos/pydanny/cookiecutter-django/issues/3018,bug
427,https://api.github.com/repos/pydanny/cookiecutter-django/issues/3021,enhancement
440,https://api.github.com/repos/pydanny/cookiecutter-django/issues/2838,enhancement
443,https://api.github.com/repos/pydanny/cookiecutter-django/issues/2989,enhancement
444,https://api.github.com/repos/pydanny/cookiecutter-django/issues/2927,enhancement
454,https://api.github.com/repos/pydanny/cookiecutter-django/issues/2998,bug
460,https://api.github.com/repos/pydanny/cookiecutter-django/issues/3012,enhancement
482,https://api.github.com/repos/pydanny/cookiecutter-django/issues/2999,enhancement
