No,Sha,Valid,Message,Issue-url,Tag,Category
0,d7653dca95247e52c4a6821c1eec00748263082a,False, infrastructure playbook get ceph info check mode set osd flag block run ceph command gather information cluster make change even running check mode allows task depend variable set task succeed check mode signed benoã knecht bknecht protonmail.ch, , ,None
1,498acd7527410f7f359b2b0181e83ca39c682ec0,False, ceph handler fix osd handler check mode run ceph command gather information without making change cluster running ansible check mode allows task depend variable set task succeed check mode signed benoã knecht bknecht protonmail.ch, , ,None
2,f0ccf3ebf0b1ad6737f0d65174c0024b49db00a4,True, ceph default add missing grafana dashboard radosgw sync overview rbd detail grafana dashboars missing list close 6758 signed dimitri savineau dsavinea redhat.com,https://api.github.com/repos/ceph/ceph-ansible/issues/6758, ,None
3,eec38784ecfaae6bf51af6cc5e3aea934d1d3d58,False, update check ceph release check early ceph release going deployed fail correspond ceph ansible version used close http show_bug.cgi 1978643 signed guillaume abrioux gabrioux redhat.com, , ,None
4,9f77b929d145512e0d8886b96caf6047c5072a68,False, alertmanager allow disable dashboard verify using self signed untrusted certificate alertmanager display error log commit make message disappear close http show_bug.cgi 1936299 authored guillaume abrioux gabrioux redhat.com signed dimitri savineau dsavinea redhat.com, , ,None
5,ad05a0816048a69adba0e9b27683ed799e3c40bd,False, multisite use node fqdn endpoint http variable set http shoudn use address zone endpoint list node fqdn match certificate close http show_bug.cgi 1965504 signed dimitri savineau dsavinea redhat.com, , ,None
6,4144074a50ffd1e8893e3af2242fc44a23fd9c3e,False, purge support add task zap osd support scenario osds deployed true close http show_bug.cgi 1876860 signed guillaume abrioux gabrioux redhat.com, , ,None
7,17cd83bf3a35b482fa453b6bef8445e5e1ad8bce,False, purge merge playbook refactor merges two playbook maintain playbook symlink old purge container cluster.yml playbook backward compatibility signed guillaume abrioux gabrioux redhat.com, , ,None
8,6b50401d0c2021fe691ee4f2be083b059d991c8b,False, purge drop variable host section variable useless given possible override let replace hardcoded name instead signed guillaume abrioux gabrioux redhat.com, , ,None
9,738fa9428a3c0c9ed0dd1aec566e807ad072daad,False, common remove unnecessary run_once statement 1303611 introduced task disabling pg_autoscaler pool balancer tho task already executed first monitor node need add run_once statement signed dimitri savineau dsavinea redhat.com, , ,None
10,cf6e33346e09e680d9b69cafdc24fdd8801cdbf4,False, common fix py2 pool_list from_json skipped using python task loop skipped generates error unexpected templating type error occurred from_json pool expected string buffer signed dimitri savineau dsavinea redhat.com, , ,None
11,13036115e2862fc8ca9c04e1379fd793e0e7036a,False, common disable enable pg_autoscaler autoscaler disrupt check idea disable enable back restart done signed guillaume abrioux gabrioux redhat.com, , ,None
12,cd06e7c046b3e56920b1f9bdc1907429382bee5c,False, ceph mgr move mgr module list common populating list mgr_modules make sense since file executed list empty using dashboard signed dimitri savineau dsavinea redhat.com, , ,None
13,9817d29543099ca640ce8b23da2ab9f26179cba5,False, ceph nfs allow overriding nfs_core_param already config override variable existing block like etc ... global one redefining nfs_core_param block variable erase previous value currently bind_addr  enable_udp false nfs_port 2050 close http show_bug.cgi 1941775 signed dimitri savineau dsavinea redhat.com, , ,None
14,60aa70a12820835412835063972c34a1c93cac7d,False, purge reindent playbook commit reindents playbook also improve readability adding extra line play signed guillaume abrioux gabrioux redhat.com, , ,None
15,70f1d6e2cd9ed4abb4db599f9faa816703430d80,False, lib ceph volume support zapping osd_id commit add support zapping osd osd_id ceph_volume module signed guillaume abrioux gabrioux redhat.com, , ,None
16,a305296384c44e387965d9970ede001e1745141d,False, cephadm adopt enable osd memory autotune hci enables option hci environment close http show_bug.cgi 1973149 signed dimitri savineau dsavinea redhat.com, , ,None
17,97148dd58c77a84aff1235dc9be3cb8c9d73cc09,False, rolling_update check quorum state upgrade one monitor quorum nothing prevents upgrade playbook run check least three monitor node also check monitor node correctly present quorum close http show_bug.cgi 1952571 signed dimitri savineau dsavinea redhat.com, , ,None
18,c396122ad9acda19462c7da363696e174b8162d1,False, update fail playbook straw2 conversion failed better fail playbook user aware straw2 migration failed signed guillaume abrioux gabrioux redhat.com, , ,None
19,4eb4268deea262d09898d21fa815912439cecfa5,True, update followup 6689 add mising osd command signed guillaume abrioux gabrioux redhat.com,https://api.github.com/repos/ceph/ceph-ansible/issues/6689,backport-stable-4.0,None
20,eee576477c73d2585a824814e3b4d85f0c12e8fd,False, update convert straw bucket upgrade presence straw bucket produce following warning health_warn  crush map legacy tunables require firefly min hammer  straw bucket firefly feature need converted straw2 close http show_bug.cgi 1967964 signed guillaume abrioux gabrioux redhat.com, , ,None
21,aeb9f562e56f5ba563658a94380d8a6882504213,False, cephadm adopt set application ganesha pool set nfs application ganesha pool close http show_bug.cgi 1956840 signed dimitri savineau dsavinea redhat.com, , ,None
22,72a0336c71cee8bd0a375ac47cb45a292844edc8,False, dashboard remove certificate valid error deploying dashboard ssl certificate generated ceph ansible enforce ceph dashboard make application alertmanager complain like following err post http mgr0 8443 api x509 certificate valid ceph dashboard mgr0 context_err context deadline exceeded idea add alternative name matching mgr mon instance certificate error appear log close http show_bug.cgi 1978869 signed guillaume abrioux gabrioux redhat.com, , ,None
23,c5a2239e5e46d84f1504c11439016976c34d47e4,False, workflow add dashboard playbook ansible lint dashboard.yml playbook missing ansible lint workflow signed dimitri savineau dsavinea redhat.com, , ,None
24,8e4ef7d6da5bc73d47be93281ecae2b3c6fa826f,False, infra add playbook purge dashboard monitoring dashboard monitoring stack deployed via variable nothing similar remove part keep ceph cluster running current purge playbook remove everything close http show_bug.cgi 1786691 signed dimitri savineau dsavinea redhat.com, , ,None
25,f4f73b61972f416db9fe6ec305de282094581e07,False, dashboard support dedicated network dashboard introduces new variable order support deploying dashboard different subnet close http show_bug.cgi 1927574 signed guillaume abrioux gabrioux redhat.com, , ,None
26,993d06c4d92f8a0be6441dd7647a27d6b58bcb9b,False, ceph crash add install checkpoint ceph crash insatll checkpoint callback missing main playbook signed dimitri savineau dsavinea redhat.com, , ,General
