No,Url,Valid,Message,Issue-url,Tag,Category
0,https://api.github.com/repos/1995eaton/chromium-vim/commits/283ec275ce3b20e7de991cbb64cb7758e4442661,False, update readme.md, , ,None
1,https://api.github.com/repos/1995eaton/chromium-vim/commits/fe60f5fa18e5f6ec379494c346127a221307aff7,False, ignore lastclosedtab executed incognito like chrome doe, , ,None
2,https://api.github.com/repos/1995eaton/chromium-vim/commits/7f35708a57ccb3e3a81bce0884f906ed5ed34738,False, update 1.2.99, , ,None
3,https://api.github.com/repos/1995eaton/chromium-vim/commits/2ed2c90944ebf8238d3e30ce282b2a9be3bdcdd1,False, removed nonworking functionality updated list chrome url used completion, , ,None
4,https://api.github.com/repos/1995eaton/chromium-vim/commits/c88b29881f8d7dfb930ae23cb3f6a6baa50cfced,False, fix openpastetab, , ,None
5,https://api.github.com/repos/1995eaton/chromium-vim/commits/f2c5d5fbd8d570d0119899ab736c6cfe9a23c2ec,False, allow global site match, , ,None
6,https://api.github.com/repos/1995eaton/chromium-vim/commits/4d690bb0f76ac13f8cfc4eb00c6add4c5f1e4ebe,True, merge pull request 580 tmsanrinsha fix command action avoid command action key typed ime,https://api.github.com/repos/1995eaton/chromium-vim/issues/580, ,None
7,https://api.github.com/repos/1995eaton/chromium-vim/commits/d8c1bb7a0b269f5e297eb9b953f7f9c36aa32a5c,False, avoid command action key typed ime, , ,None
8,https://api.github.com/repos/1995eaton/chromium-vim/commits/070708b6bd6baf408ff448773c449859236fa8a5,False, add attribute selector hint mode, , ,None
9,https://api.github.com/repos/1995eaton/chromium-vim/commits/98d9c6e29c8dbaf233a1432c95019056cf9d40b3,True, fix 489 update 1.2.98,https://api.github.com/repos/1995eaton/chromium-vim/issues/489, ,None
10,https://api.github.com/repos/1995eaton/chromium-vim/commits/b69142d599f15b81f96b8217e20d21757769f074,False, add changelog info latest commit, , ,None
11,https://api.github.com/repos/1995eaton/chromium-vim/commits/cec16f5794227d726ee13776afda6822708e41fc,False, merge branch master github.com 1995eaton chromium vim, , ,None
12,https://api.github.com/repos/1995eaton/chromium-vim/commits/a1b13728aa4e34e6dbdb2a606e6e45b4ea8b0a25,True, fix 569,https://api.github.com/repos/1995eaton/chromium-vim/issues/569, ,None
13,https://api.github.com/repos/1995eaton/chromium-vim/commits/feb4eccc1a7c653bee56bc35e13d6c710000ae85,False, update 1.2.97, , ,None
14,https://api.github.com/repos/1995eaton/chromium-vim/commits/3eab056ff545dad6f0ba0bea918f887dbde071a8,True, fix 567,https://api.github.com/repos/1995eaton/chromium-vim/issues/567, ,None
15,https://api.github.com/repos/1995eaton/chromium-vim/commits/b485069d3f10b86b10ea7b56006f53032a381723,False, update 1.2.96, , ,None
16,https://api.github.com/repos/1995eaton/chromium-vim/commits/5b7a0a633f4b07e0187301327817553fc9d0d06f,True, fix 572,https://api.github.com/repos/1995eaton/chromium-vim/issues/572, ,None
17,https://api.github.com/repos/1995eaton/chromium-vim/commits/b9c5376aa113f6f3f60837a8c4ee40b88dbb081d,False, update 1.2.95, , ,None
18,https://api.github.com/repos/1995eaton/chromium-vim/commits/20c83b2c2d89c25d3b04e4ec9ba95bc106727ce3,False, redesign option page, , ,None
