No,Valid,Message,Issue-url,Tag,Category
0,False,field navigator, , ,None
1,False,nan, , ,None
2,False,nan, , ,None
3,False,compatibility navigator, , ,None
4,False,update, , ,None
5,False,update, , ,None
6,False,mergebranch merge master audreyt ethercalc, , ,None
7,False,dependency downgrade, , ,None
8,True,mergeimprovement readme request merge tpltntreadme adjustment,https://api.github.com/repos/audreyt/ethercalc/issues/707, ,None
9,True,mergemulti request merge prillan broken bugfixmulti sheet broken,https://api.github.com/repos/audreyt/ethercalc/issues/710, ,None
10,False,multi broken, , ,None
11,False,installation explicit, , ,None
12,False,nan, , ,None
13,True,nan,https://api.github.com/repos/audreyt/ethercalc/issues/696,bug,None
14,False,change format, , ,None
15,False,nan, , ,None
16,False,dependency, , ,None
17,True,mergerequest joebordes mergespelling missing error,https://api.github.com/repos/audreyt/ethercalc/issues/690, ,None
18,True,mergerequest joebordes merge,https://api.github.com/repos/audreyt/ethercalc/issues/691, ,None
19,False,nan, , ,None
20,False,spelling missing error, , ,None
21,True,ddbbe mergemokkin request patch mergegerman translation,https://api.github.com/repos/audreyt/ethercalc/issues/689, ,None
22,False,german translation, , ,None
23,False,nan, , ,None
24,False,correct multisheet garbled, , ,None
25,False,correct storage, , ,None
26,False,nan, , ,None
27,True,mergemaster khawarjatoi request mergemulti issue sheet rename disappearingrecompile change static,https://api.github.com/repos/audreyt/ethercalc/issues/665, ,None
28,False,issue loosing, , ,None
29,False,loosing, , ,None
30,False,update, , ,None
31,False,audreyt multi sheet loosingcreated creates snapshot store sheetensures sheet returned, , ,None
32,False,nan, , ,None
33,False,regen livescript, , ,None
34,False,nan, , ,None
35,False,sheet first start storing, , ,None
36,False,multi sheet loosingcreated creates snapshot store sheetsheet returned, , ,None
37,False,sheet first storing, , ,None
38,False,ethercalc, , ,None
39,False,depend socialcalc newly released, , ,None
40,False,ethercalc, , ,None
41,False,socialcalc github latest branch, , ,None
42,False,nan, , ,None
43,False,update, , ,None
44,True,mergemaster request mergebasepath actuallychange simple,https://api.github.com/repos/audreyt/ethercalc/issues/621, ,None
45,False,basepath actually, , ,None
46,False,dockerfile actual, , ,None
47,False,nodemailer optional, , ,None
48,False,nodemailer optional, , ,None
49,False,rebuild, , ,None
50,False,rebuild, , ,None
51,False,rebuild, , ,None
52,False,document quantum button ready firefox delay adding display, , ,None
53,False,location around, , ,None
54,True,mergecurexiaoxiao master request mergecontainer docker compose error deployed,https://api.github.com/repos/audreyt/ethercalc/issues/596, ,None
55,True,mergeatifaziz extra request merge auditrestoring extra filter blank audit,https://api.github.com/repos/audreyt/ethercalc/issues/603, ,None
56,False,restoring extra filter blank audit, , ,None
57,True,mergeatifaziz request filter mergestorage fallback filter,https://api.github.com/repos/audreyt/ethercalc/issues/602, ,None
58,True,mergeatifaziz fallback request merge storagewording change minorstorage fallback message,https://api.github.com/repos/audreyt/ethercalc/issues/601, ,None
59,False,storage fallback filter, , ,None
60,False,storage fallback messagecollection fallback based storage anymoredirectory natural, , ,None
