Language selection,Projects,,#Vulnerabilities,
,Name,Url,,
"['c', 'c++', 'shell']",wireshark,https://api.github.com/repos/wireshark/wireshark,3,15
,panda,https://api.github.com/repos/commaai/panda,0,
,libzmq,https://api.github.com/repos/zeromq/libzmq,5,
,spdk,https://api.github.com/repos/spdk/spdk,4,
,bap,https://api.github.com/repos/BinaryAnalysisPlatform/bap,3,
"['c', 'python']",armory,https://api.github.com/repos/armory3d/armory,0,9
,mtools,https://api.github.com/repos/rueckstiess/mtools,2,
,Printrun,https://api.github.com/repos/kliment/Printrun,1,
,autorest,https://api.github.com/repos/Azure/autorest,5,
,sqlalchemy,https://api.github.com/repos/zzzeek/sqlalchemy,1,
"['java', 'shell']",decaffeinate,https://api.github.com/repos/decaffeinate/decaffeinate,2,10
,goodwork,https://api.github.com/repos/iluminar/goodwork ,5,
,p6spy,https://api.github.com/repos/p6spy/p6spy,1,
,gestalt,https://api.github.com/repos/pinterest/gestalt,2,
,watir,https://api.github.com/repos/watir/watir,0,
"['objective-c', 'ruby']",Sourcery,https://api.github.com/repos/krzysztofzablocki/Sourcery,0,4
,PinpointKit,https://api.github.com/repos/Lickability/PinpointKit,0,
,JTAppleCalendar,https://api.github.com/repos/patchthecode/JTAppleCalendar,2,
,Form,https://api.github.com/repos/3lvis/Form,2,
,katana-swift,https://api.github.com/repos/BendingSpoons/katana-swift,0,
"['javascript', 'php']",jquery-mobile,https://api.github.com/repos/jquery/jquery-mobile,0,12
,cockpit,https://api.github.com/repos/agentejo/cockpit,4,
,whoops,https://api.github.com/repos/filp/whoops,0,
,phpipam,https://api.github.com/repos/phpipam/phpipam,4,
,understrap,https://api.github.com/repos/understrap/understrap,4,
