repo_id,combo,combo_num,pj_size,lg_num,age,cmmt_num,dev_num,se_num,se_rem_num,se_iibc_num,se_pd_num,se_other
10446890,c_objectivec,0,8283,7,2884,2627,72,107,71,0,23,13
47394776,javascript_shell,0,10251,3,2007,2218,285,48,16,0,5,27
41986369,go_shell,0,225511,5,2125,13864,696,474,226,5,6,237
2562751,html_java,0,240603,3,4976,3584,156,264,48,5,11,200
1844251,css_html_javascript_shell,0,73004,4,3415,2905,381,68,2,5,0,61
698041,css_javascript_shell,1,5831,4,4064,1798,272,58,17,3,4,34
6988020,css_html_javascript_typescript,0,60689,7,3083,500,136,22,5,0,1,16
13840241,css_html_javascript_ruby,0,21631,7,2804,4051,180,39,7,1,2,29
349241,html_javascript,0,7142,2,4220,2749,344,68,26,2,4,36
28167802,html_javascript,0,9239,3,2005,660,45,4,2,0,0,2
8575137,html_java,0,3909,5,2739,1016,115,31,6,10,0,15
23405758,c_cpp,0,1500,3,3736,362,58,35,19,0,2,14
29891188,javascript_shell,0,3274,2,2346,1864,185,24,2,0,0,22
1283503,javascript_shell,0,2290,2,3567,2270,358,79,39,0,7,33
3620194,html_javascript,0,12529,3,3384,2634,559,220,14,0,5,201
6452529,cpp_python,0,279364,18,3135,20000,231,443,189,0,51,203
52773157,javascript_shell_typescript,0,19691,3,1956,4636,760,308,40,2,2,264
31085130,html_javascript,0,306499,2,2317,2136,90,16,2,1,0,13
105919803,cpp_python,0,4483,7,1159,141,41,2,1,0,0,1
32578467,objectivec_ruby_shell,0,181664,5,2169,1734,176,75,21,0,1,53
13855476,go_shell,0,3730,2,2805,2232,298,55,20,0,8,27
2700159,html_java,0,64903,8,3701,6444,240,218,8,4,1,205
13584262,javascript_shell,0,9208,2,2815,2942,187,104,31,1,4,68
64355429,css_javascript,1,32902,3,1433,3031,206,24,1,0,1,22
7607075,html_python,0,143113,5,2800,1083,165,12,2,0,0,10
1028340,css_html_javascript_shell,0,39676,6,4098,7935,520,161,24,0,2,135
1116542,c_cpp_shell,0,28271,5,5427,5274,64,127,81,0,35,11
51863547,python_shell,0,108316,5,1939,491,42,11,1,1,1,8
53370988,css_html_javascript_python_shell,0,90228,6,1994,4696,319,118,37,7,19,55
4037197,python_shell,0,36477,5,3326,2813,189,241,122,19,8,92
1254497,css_html_javascript_shell,0,18073,4,3822,6961,999,121,35,3,10,73
34757182,cpp_python,0,7768,2,1924,790,46,22,20,0,0,2
39840932,c_cpp_python_shell,0,9541,7,4744,3705,402,147,39,5,5,98
59652928,html_javascript_typescript,0,65251,4,1538,532,39,19,1,0,0,18
519832,css_html_javascript_python_shell,0,49853,9,4150,9344,439,297,116,11,46,124
