repo_id,combo,combo_num,pj_size,lg_num,age,cmmt_num,dev_num,se_num,se_rem_num,se_iibc_num,se_pd_num,se_other
42283287,html_javascript_typescript,0,9427,3,3411,15997,1028,19,9,0,1,9
2573058,html_javascript,1,119385,3,3569,20480,2299,32,16,0,0,16
53238813,ruby_shell,0,52351,7,3334,20480,808,40,8,1,0,31
29261473,go_shell,0,99597,4,2457,8458,354,55,33,1,3,18
41986369,go_shell,0,228337,5,2147,20480,1325,128,38,0,2,88
2562751,html_java,1,240604,3,5019,4020,264,4,2,0,0,2
38558578,css_html_javascript_shell_typescript,0,5052,6,3417,3620,375,8,3,0,0,5
94367677,css_javascript_typescript,0,8643,4,2371,7066,768,2,0,0,0,2
49609581,c#_shell,0,79915,10,2352,8897,489,40,16,0,0,24
30969188,html_javascript,1,8736,2,1520,1457,243,1,0,0,0,1
74175805,go_shell,0,198558,8,1708,16099,885,148,22,1,0,125
1844251,css_html_javascript_shell,0,73004,4,3576,5791,519,33,31,0,0,2
698041,css_javascript,0,5831,4,4064,1798,272,2,1,1,0,0
18049133,css_html_javascript_ruby,0,3655,5,4732,11409,891,57,16,0,3,38
14098121,javascript_python,1,60237,19,1195,3297,83,5,1,0,0,4
3577919,go_shell,0,10570,4,3610,20480,1933,373,3,0,0,370
39176269,javascript_typescript,0,16535,2,2039,2221,558,4,0,0,0,4
53631945,python_shell,0,4445,5,2267,3249,473,25,24,0,0,1
6988020,css_html_javascript_shell_typescript,0,60689,7,3083,1365,197,4,1,0,0,3
13840241,css_html_javascript_ruby,0,21651,7,2826,4073,180,4,0,0,0,4
349241,html_javascript,1,6362,2,4275,2753,345,1,0,0,0,1
23405758,c_cpp,0,1500,3,3736,1022,103,2,2,0,0,0
29891188,javascript_shell,0,3276,2,2367,1866,185,5,0,0,0,5
33263118,css_html_javascript_python_shell,1,119003,6,2588,9175,155,6,2,0,0,4
458058,css_html_javascript_php,0,200767,7,7875,20480,2145,82,41,0,0,41
30203935,css_html_javascript,0,220166,13,3762,20480,1573,33,3,0,0,30
1283503,javascript_shell,0,2290,2,4096,6120,1037,8,4,0,0,4
32247847,html_javascript_shell_typescript,0,120406,6,2323,4842,521,2,2,0,0,0
3620194,html_javascript,1,12529,3,3384,2634,559,1,0,0,0,1
53127403,html_java_javascript,0,47540,8,1967,20480,846,39,7,0,0,32
317757,css_javascript,0,18700,5,4307,3012,418,5,2,0,0,3
52773157,javascript_shell_typescript,0,20383,3,1980,4717,771,1,1,0,0,0
6452529,cpp_python,0,279364,18,3135,20000,231,47,47,0,0,0
13078968,javascript_typescript,0,9137,2,2874,4134,466,1,0,0,0,1
31085130,html_javascript,1,310017,2,2344,11622,1030,12,3,0,0,9
25315643,css_html_javascript_python_shell,1,87026,9,2297,8217,137,8,6,0,0,2
790359,javascript_shell_typescript,0,29963,3,4018,20480,1872,91,39,10,25,17
13855476,go_shell,0,3713,2,2822,2386,342,1,1,0,0,0
7548986,php_shell,0,57207,5,2113,20480,3246,67,24,0,0,43
2700159,html_java,1,64912,8,6250,20480,836,79,50,0,0,29
13584262,javascript_shell,0,13601,2,2839,11791,574,33,16,0,1,16
5625464,c_python_shell,0,4268,7,3643,3299,412,1,0,0,0,1
2541284,html_typescript,0,6194,2,3580,4527,459,1,1,0,0,0
42920477,css_javascript,0,6508,2,3654,1348,79,4,4,0,0,0
137724480,javascript_typescript,0,84631,20,3645,10859,912,32,1,0,0,31
16607898,go_shell,0,28458,2,4318,8242,771,47,38,0,0,9
1116542,c_cpp_shell,0,28271,5,5427,5274,64,10,8,0,0,2
1028340,css_html_javascript_shell,0,39967,6,4131,7956,523,5,4,0,0,1
53370988,css_html_javascript_python_shell,1,89742,6,3845,13200,1367,22,5,5,0,12
34757182,cpp_python,0,7768,2,2233,1281,88,1,0,0,0,1
519832,css_html_javascript_python_shell,1,50020,9,4176,15449,884,49,29,0,0,20
39840932,c_cpp_python_shell,0,9818,7,4766,3718,404,2,1,0,0,1
12244426,css_html_javascript,0,722,3,2885,2027,371,1,0,0,0,1
4037197,python_shell,0,36493,5,3385,2817,190,6,6,0,0,0
23338716,javascript_typescript,0,18036,2,4125,17878,1215,32,20,0,0,12
15308499,css_html_javascript,0,2494,3,2759,1596,221,8,0,0,0,8
