0,Date,Day,HIGH_T,LOW_T,PRECIP,BB_COUNT
1,6/1/2020 0:00,Thursday,78.1,62.1,0,3468
2,6/2/2020 0:00,Friday,73.9,60.1,0.01,3271
3,6/3/2020 0:00,Saturday,72,55,0.01,2589
4,6/4/2020 0:00,Sunday,68,60.1,0.09,1805
5,6/5/2020 0:00,Monday,66.9,60.1,0.02,2171
6,6/6/2020 0:00,Tuesday,55.9,53.1,0.06,1193
7,6/7/2020 0:00,Wednesday,66.9,54,0,3211
8,6/8/2020 0:00,Thursday,68,59,0,3253
9,6/9/2020 0:00,Friday,80.1,59,0,3401
10,6/10/2020 0:00,Saturday,84,68,0,3066
11,6/11/2020 0:00,Sunday,90,73,0,2465
12,6/12/2020 0:00,Monday,91.9,77,0,2854
